itemCode,name,Description,customer,Max Qty,Count,Price,Cost,MSRP,subscriptionPeriodMonths,Frequency,billingType,billingPeriodType,firstBillingPeriodType,cancelTime,renewalAction
A-FLEX-MIG,A-FLEX-MIG,Please enter Transfer Code in Quantity Field to th,Broker,281271193,4,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-MIG,A-SPK-MIG,Please enter Transfer Code in Quantity Field to th,Broker,94044681,6,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-FILESTG-ENT,A-FLEX-FILESTG-ENT,File Storage Entitlement,Broker,55391817,1880,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WX-MIG,A-WX-MIG,Please enter Migration Code in Quantity Field to t,Broker,22222222,2,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-MSG-ENT,A-FLEX-MSG-ENT,Messaging Entitlement,Broker,2842811,1314,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-EMP-RMSTG-X,A-SPK-EMP-RMSTG-X,Included Cisco Spark Storage (1),Broker,2531951,72,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-CS-TA-BCCB,A-SPK-CS-TA-BCCB,Bridge Country Call-back -1,Broker,2381751,198,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-ER,A-FLEX-P-ER,Emergency Responder Smart License -1,Broker,2152959,807,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-CS-TA-BCTF,A-SPK-CS-TA-BCTF,Bridge Country Toll Free Call-in (1),Broker,1984576,272,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-CS-TA-BCT,A-SPK-CS-TA-BCT,Bridge Country Toll Call-in -1,Broker,1575769,121,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-SRST-E,A-FLEX-SRST-E,SRST Endpoints -1,Broker,1567968,891,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-CS-TA-ICB,A-SPK-CS-TA-ICB,Global Call Me (1),Broker,1152497,219,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-PROPACK-ENT,A-FLEX-PROPACK-ENT,Pro Pack for Cisco Control Hub Entitlement,Broker,1094836,1280,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-G-SP-DT,A-FLEX-G-SP-DT,Flex CC Speech Based Intent Detection,Broker,991415,22,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-C-DEV-ENT,A-FLEX-C-DEV-ENT,Cloud Device Registration Entitlement,Broker,987889,769,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-UCXN,A-FLEX-P-UCXN,Unity Connection Smart License -1,Broker,949024,801,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EA-E-U-STU,A-FLEX-EA-E-U-STU,EA Students for Higher Education,Broker,819135,67,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-AU-RMSTG-X,A-SPK-AU-RMSTG-X,Included Cisco Spark Storage (1),Broker,804250,144,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-EA,A-FLEX-P-EA,On-Premises Smart License - EA -1,Broker,778903,535,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-ER-12X,A-FLEX-P-ER-12X,Emergency Responder v12 License -1,Broker,729291,294,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-CS-MNTH,A-SPK-CS-MNTH,Monthly Committed Audio Spend (1),Broker,637044,505,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EXP-DESK,A-FLEX-EXP-DESK,Expressway Deskphone Registration -1,Broker,632944,437,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
